text,label
# ==============================================================================
# NHÃN 0: SẠCH (CLEAN)
# Khen ngợi, hỏi hàng, phàn nàn lịch sự, giao hàng...
# ==============================================================================
Sản phẩm tuyệt vời đóng gói cẩn thận,0
Giao hàng nhanh shipper thân thiện,0
Chất lượng sản phẩm tốt hơn mong đợi,0
Shop tư vấn nhiệt tình dễ thương,0
Màu sắc đẹp giống hệt trong ảnh,0
Sẽ ủng hộ shop dài dài,0
Cảm ơn shop đã hỗ trợ đổi trả,0
Hàng chính hãng tem mác đầy đủ,0
Mọi người nên mua nhé rất đáng tiền,0
Gói hàng kĩ đẹp lắm ạ,0
Dùng thích lắm da dẻ mịn màng hẳn,0
Áo vải mềm mặc mát,0
Quần hơi rộng xíu nhưng vẫn đẹp,0
Sản phẩm tạm ổn trong tầm giá,0
Giao hàng hơi chậm nhưng hàng oke,0
Không ưng lắm nhưng cũng cho 4 sao,0
Hàng bị móp méo hộp xíu,0
Shop trả lời tin nhắn hơi lâu,0
Mùi hương hơi nồng mình không thích lắm,0
Chất lượng bình thường không có gì đặc sắc,0
Sản phẩm không được tốt lắm,0
Dùng một thời gian thấy cũng bình thường,0
Giá hơi cao so với chất lượng,0
Shop cần cải thiện khâu đóng gói,0
Màu không giống hình lắm hơi thất vọng,0
Chờ hàng mòn mỏi mới thấy tới,0
Nhân viên giao hàng thái độ hơi kỳ,0
Hàng này dùng cho người già được không shop,0
Cho mình hỏi cách sử dụng với ạ,0
Shop còn màu xanh không,0
Bao lâu thì nhận được hàng vậy shop,0
Có được kiểm tra hàng trước khi nhận không,0
Phí ship cao quá shop ơi,0
Hàng y hình không shop,0
Tư vấn giúp mình size L nhé,0
Mình muốn đổi địa chỉ giao hàng,0
Shop check inbox mình với,0
Đã nhận được hàng cảm ơn shop,0
Hàng ô kê la lắm nha,0
Tuyệt vời ông mặt trời,0
Mua lần thứ 2 rồi vẫn ưng,0
Đóng gói chắc chắn giao nhanh,0
Sản phẩm đẹp y hình,0
Chất lượng tốt giá rẻ,0
Shop làm ăn uy tín,0
Giao sai màu nhưng shop đổi lại nhanh,0
Hàng đẹp lắm mọi người ơi,0
Rất hài lòng về sản phẩm,0
Sẽ giới thiệu cho bạn bè,0
Cho shop 5 sao nhé,0
Hàng dùng tốt,0
Máy chạy êm ru,0
Màn hình sắc nét,0
Pin trâu dùng cả ngày,0
Giày đi êm chân,0
Vải dày dặn không bị lộ,0
Đường may tinh tế,0
Màu này tôn da lắm,0
Dễ phối đồ,0
Hương vị thơm ngon,0
Bánh giòn rụm,0
Nước hoa thơm lâu,0
Son lên màu chuẩn,0
Kem thấm nhanh không bết rít,0
Sữa rửa mặt sạch sâu,0
Dầu gội mềm tóc,0
